"[0.811 0.067 0.000 0.000 0.000 0.000 0.000 0.000 0.507 0.000 0.000 0.000
 -0.239 0.323 -0.310 0.079 0.293 0.431]",,
,0.2957284481968594,
,,0.2957199137687442
"[1.000 0.000 0.372 0.117 0.000 0.421 0.000 0.000 0.785 0.615 0.000 0.000
 -0.178 0.674 -1.000 1.000 -0.153 1.000]",,
,0.29429545300433924,
,,0.2942954193519517
"[0.085 0.508 0.000 1.508 0.000 0.000 0.000 0.170 0.000 0.357 0.000 0.029
 -0.293 0.703 -0.255 1.000 0.697 -1.000]",,
,0.30074664366516934,
,,0.30061223256287184
"[0.913 1.044 0.000 0.000 0.000 0.361 1.134 0.000 2.677 0.151 0.000 0.000
 1.000 -0.571 0.266 -0.891 -0.803 -0.640]",,
,0.293906961465328,
,,0.29389966612090146
"[0.823 0.000 1.191 0.634 0.974 0.000 0.000 0.000 0.000 0.000 0.375 0.000
 0.768 0.138 0.951 -0.172 -1.000 -1.000]",,
,0.29379589951200513,
,,0.2937862437125813
"[0.000 0.000 0.637 0.030 0.000 0.000 0.000 0.830 0.000 0.000 0.000 0.000
 0.624 -0.918 0.360 -1.000 1.000 -0.339]",,
,0.29456122056524303,
,,0.2945563902439596
"[0.000 1.074 0.000 1.265 0.000 0.924 0.000 0.000 0.355 1.067 0.000 0.000
 -0.371 0.417 -0.323 -0.135 -0.865 0.023]",,
,0.29641404474007554,
,,0.29639375894638503
"[0.522 0.539 0.498 0.598 0.108 0.000 0.000 0.000 1.722 0.205 0.000 1.307
 0.451 0.510 -0.373 -0.291 -0.636 -0.061]",,
,0.29433461029882013,
,,0.29433402231730116
"[0.000 2.294 0.263 0.000 0.580 0.000 0.000 1.626 0.000 1.081 0.000 0.000
 -0.618 0.768 -0.113 0.599 0.122 -0.364]",,
,0.2946554166447948,
,,0.2946551766087854
"[0.000 1.220 0.000 1.835 0.000 0.790 1.197 0.000 0.000 1.054 0.593 0.000
 1.000 -0.120 1.000 -0.210 1.000 -1.000]",,
,0.29411402461385877,
,,0.29410986971675757
"[0.000 1.455 0.000 0.178 0.000 0.000 0.511 0.838 0.000 0.000 0.186 1.519
 0.701 0.620 -0.572 -1.000 1.000 -0.231]",,
,0.29474624378361064,
,,0.29470548068751495
"[0.058 0.000 0.000 1.263 0.656 0.000 0.050 0.065 0.000 0.235 0.000 0.000
 1.000 1.000 -1.000 0.218 -1.000 0.103]",,
,0.292796000382173,
,,0.2927945729655249
"[0.481 0.000 0.431 0.623 0.000 0.000 0.000 0.000 0.000 1.187 0.000 0.000
 -0.075 0.623 -0.336 -0.075 0.038 -0.908]",,
,0.29443421817598664,
,,0.2944334513695538
"[0.683 0.144 0.000 0.000 0.328 1.396 1.740 2.290 0.000 0.834 0.229 0.000
 0.109 -0.216 0.198 -1.000 0.136 0.911]",,
,0.2944645827090395,
,,0.294459152534648
"[0.000 1.327 0.000 0.122 0.000 0.380 0.000 1.242 0.547 0.000 0.169 0.000
 -0.229 -0.865 -0.435 -0.724 1.000 1.000]",,
,0.2933025712486194,
,,0.29327669312302146
