"[0.760 2.445 0.000 0.000 1.362 0.000 0.000 0.000 2.340 0.938 0.027 0.000
 0.920 1.000 -1.000]",,
,0.2943948315333903,
,,0.29439478041964995
"[0.288 0.260 0.000 2.001 0.000 0.000 0.000 0.000 1.169 0.453 1.043 0.000
 0.180 -1.000 -1.000]",,
,0.2948778820765449,
,,0.294877851335934
"[0.000 0.129 0.830 0.852 0.331 1.302 0.000 0.000 0.530 0.855 0.000 0.000
 -1.000 -0.702 -0.719]",,
,0.29437606661895666,
,,0.29437577522874625
"[0.000 0.000 0.000 0.000 0.627 0.000 0.197 0.000 0.000 0.000 0.000 0.640
 -0.120 -0.244 -0.192]",,
,0.2945276862282776,
,,0.29452758328547146
"[2.674 0.000 0.000 0.690 0.000 2.060 0.303 1.103 0.000 0.205 0.788 0.000
 0.232 0.514 -1.000]",,
,0.2948642011996583,
,,0.2948640799773555
"[0.427 0.000 0.000 0.214 0.000 0.000 0.466 0.000 0.798 2.663 1.546 0.000
 0.465 -0.204 0.623]",,
,0.29437482801196246,
,,0.2943747794763741
"[0.107 0.175 0.000 0.712 0.419 1.377 0.000 0.305 0.136 1.221 1.762 0.000
 1.000 -1.000 -0.789]",,
,0.2938227835933942,
,,0.2938220581683759
"[0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.749 0.000 0.811 1.920
 0.924 0.405 1.000]",,
,0.29477357195455184,
,,0.29477333214617557
"[0.000 0.000 0.646 1.230 0.000 0.000 0.486 0.410 0.000 1.377 0.245 2.771
 0.627 -0.710 0.492]",,
,0.2956168348856067,
,,0.2956139004515057
"[0.000 0.000 0.000 1.766 0.541 1.879 0.000 0.555 0.228 0.498 0.563 1.485
 0.952 -0.994 0.162]",,
,0.2942166557364759,
,,0.2942117715970659
"[0.000 0.273 0.000 1.236 0.000 0.000 0.000 0.000 2.419 0.000 0.000 0.836
 1.000 0.040 1.000]",,
,0.29385187973254434,
,,0.2938516630641729
"[0.000 0.000 0.000 0.212 2.462 0.000 0.000 0.000 0.000 0.292 0.000 0.000
 -0.952 -0.466 0.661]",,
,0.29453416139642674,
,,0.2945333767528125
"[0.000 0.388 0.983 0.000 0.625 0.000 0.989 0.778 0.000 0.000 0.000 3.062
 1.000 -1.000 -0.200]",,
,0.294374027051506,
,,0.29437395069812367
"[0.000 1.215 0.000 0.000 0.000 0.000 0.750 0.898 0.576 0.000 0.000 1.290
 0.750 0.405 -1.000]",,
,0.29303610126755153,
,,0.2930358448566584
"[0.441 2.205 1.043 0.000 0.949 1.589 0.000 0.000 0.000 0.000 2.199 0.777
 1.000 -0.856 -0.863]",,
,0.29440198202241574,
,,0.2944015599819855
"[1.318 1.024 1.560 0.000 0.711 0.322 0.000 0.000 1.612 0.000 0.000 0.000
 -1.000 -0.401 -0.918]",,
,0.2944959453693326,
,,0.294495904817422
"[0.413 0.000 0.000 0.471 0.000 1.550 0.000 1.850 3.130 0.049 1.943 1.528
 -1.000 -1.000 0.613]",,
,0.29455380725368374,
,,0.29455378121012843
"[0.521 0.602 0.738 1.248 1.930 0.000 0.000 1.226 0.123 0.000 0.000 0.000
 -1.000 0.179 -0.581]",,
,0.29445387855380534,
,,0.29445382865311015
"[0.508 0.217 0.000 0.000 0.000 0.638 2.146 0.890 0.289 0.000 0.000 0.117
 0.118 -0.189 -1.000]",,
,0.29482135125342657,
,,0.29482091135737065
"[1.048 1.185 0.000 1.185 0.000 0.000 0.950 0.000 0.000 0.000 0.000 0.000
 1.000 -1.000 0.785]",,
,0.2952163419805177,
,,0.29521525178530644
"[2.069 2.380 0.000 0.281 0.974 1.103 0.073 0.000 2.121 0.000 0.000 0.671
 0.764 -0.173 0.095]",,
,0.29539605387561596,
,,0.2953942087437145
"[0.000 1.221 0.039 0.000 0.000 0.000 0.000 0.000 1.268 0.336 1.294 0.000
 0.354 -0.540 0.429]",,
,0.2954647980540299,
,,0.29546343163392486
"[0.610 1.784 0.000 0.848 0.000 0.000 0.000 0.000 0.000 0.857 0.000 1.418
 0.718 0.058 -1.000]",,
,0.294183802270632,
,,0.2941835810597104
"[0.708 0.259 1.596 0.501 0.000 0.217 0.963 1.163 0.194 1.076 0.000 0.000
 -1.000 0.388 -0.136]",,
,0.29430451692021325,
,,0.29430439006625175
"[0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.758
 0.226 -0.431 0.499]",,
,0.2946898352383436,
,,0.29468937825971275
"[0.000 0.331 0.785 0.000 0.000 0.000 0.572 0.034 0.000 0.000 1.829 1.056
 -0.645 0.052 -1.000]",,
